Code,Si/Do,시군구,City_Name,Si/Gun,Smart_City,1st_SC (U-City & LH_SC service in Transport & Security),2nd_SC (Multiple SC service),SC_Ordinance,RE,RE_B,RE_E,SG,CI,ES_Ave,ES1,EC2,EC3,EC4,EC5,Elec_HPS,TB,ER,Population, Business ,FIR,GRDP,Car,UA,RA,CA,IA,GA,Road,F_Culture,F_Research,Hospitals,Waste
46780,Jeonnam,보성군,Boseong-gun,Gun,3,,, -   ,"57,471",0.000%,0.000%,0 ,0 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,186889 ,0.00%, 1 ,"22,449"," 3,783 ",11.1," 803,199 "," 67,637 ",22.8,12.5,2.4,0.6,84.5,"4,188,117",3,0,0,0.69
46790,Jeonnam,화순군,Hwasun-gun,Gun,3,,, -   ,"98,516",0.058%,0.025%,0 ,1 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,289617 ,0.00%, 1 ,"29,575"," 5,078 ",21.0," 1,460,223 "," 31,751 ",8.9,6.1,0.8,1.6,91.6,"5,028,249",4,0,1,0.67
46800,Jeonnam,장흥군,Jangheung-gun,Gun,3,,, -   ,"63,868",0.403%,0.221%,0 ,1 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,177599 ,0.00%, 1 ,"20,161"," 3,612 ",11.6," 905,402 "," 19,032 ",30.5,8.0,1.2,5.9,84.9,"5,209,266",1,0,0,0.87
46810,Jeonnam,강진군,Gangjin-gun,Gun,3,,, -   ,"48,927",0.405%,0.301%,0 ,0 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,177997 ,0.00%, 1 ,"18,414"," 3,109 ",10.2," 759,345 "," 18,223 ",10.2,14.3,2.2,5.2,73.4,"6,622,796",2,2,1,0.97
46820,Jeonnam,해남군,Haenam-gun,Gun,3,,, -   ,"69,115",0.125%,0.035%,0 ,6 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,302757 ,0.00%, 1 ,"35,231"," 5,510 ",12.1," 1,847,492 "," 36,598 ",6.4,11.2,1.1,6.1,57.8,"3,735,831",1,1,0,0.76
46830,Jeonnam,영암군,Yeongam-gun,Gun,3,,, -   ,"58,987",0.173%,0.066%,0 ,4 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,266634 ,0.00%, 1 ,"27,190"," 4,518 ",13.7," 3,770,157 "," 48,676 ",24.6,7.3,1.0,14.6,42.1,"8,664,606",4,0,0,1.74
46840,Jeonnam,무안군,Muan-gun,Gun,3,,, -   ,"45,999",0.019%,0.000%,0 ,2 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,247582 ,0.00%, 1 ,"35,500"," 5,329 ",16.1," 3,289,224 "," 39,666 ",32.7,24.1,3.3,1.1,71.5,"7,019,371",1,0,1,0.92
46860,Jeonnam,함평군,Hampyeong-gun,Gun,3,,, -   ,"45,032",0.163%,0.075%,0 ,0 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,170212 ,0.00%, 1 ,"17,591"," 2,454 ",12.0," 822,729 "," 16,660 ",10.3,12.1,1.4,10.8,75.7,"7,101,673",1,0,1,0.49
46870,Jeonnam,영광군,Yeonggwang-gun,Gun,3,,, -   ,"47,561",0.000%,0.000%,0 ,3 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,518945 ,0.00%, 1 ,"26,054"," 4,672 ",13.4," 3,282,360 "," 26,004 ",36.2,10.1,1.8,14.8,70.2,"5,894,465",0,1,0,0.69
46880,Jeonnam,장성군,Jangseong-gun,Gun,3,,, -   ,"65,209",0.060%,0.000%,0 ,0 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,223674 ,0.00%, 2 ,"21,557"," 3,265 ",21.1," 1,668,572 "," 24,597 ",13.4,7.4,0.7,1.9,90.0,"8,817,315",2,0,0,0.95
46890,Jeonnam,완도군,Wando-gun,Gun,3,,,2019,"32,972",0.067%,0.032%,0 ,0 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,118714 ,0.00%, 3 ,"25,688"," 4,366 ",12.6," 966,624 "," 23,269 ",28.9,9.9,2.3,2.1,72.4,"3,638,516",3,1,0,0.82
46900,Jeonnam,진도군,Jindo-gun,Gun,3,,, -   ,"30,722",0.347%,0.165%,1 ,3 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,125173 ,0.00%, 1 ,"15,911"," 2,793 ",10.0," 671,145 "," 15,432 ",10.1,10.0,1.5,4.0,84.5,"3,494,616",1,2,0,0.93
46910,Jeonnam,신안군,Sinan-gun,Gun,3,,, -   ,"31,349",0.257%,0.207%,0 ,4 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,72532 ,0.00%, 2 ,"22,077"," 3,117 ",10.2," 986,215 "," 19,538 ",22.5,7.9,1.7,1.4,89.0,"4,750,946",1,0,0,0.96
47110,Gyeongbuk,포항시,Pohang-si,Si,3,,, -   ,"146,325",0.017%,0.008%,0 ,0 ,3.509 ,3.33 ,4.09 ,3.54 ,3.82 ,2.77 ,1882947 ,0.38%, 2 ,"212,095"," 41,227 ",35.2," 16,979,440 "," 251,935 ",29.6,10.7,1.4,10.4,52.6,"22,381,373",4,6,2,1.05
47130,Gyeongbuk,경주시,Gyeongju-si,Si,1,U-city(기반조성),, -   ,"170,593",0.037%,0.014%,0 ,3 ,3.595 ,3.51 ,4.04 ,3.72 ,3.72 ,2.98 ,2050092 ,0.00%, 1 ,"113,798"," 23,826 ",25.6," 10,487,838 "," 134,852 ",45.8,4.7,0.6,5.2,89.1,"20,254,046",11,1,2,1.16
47150,Gyeongbuk,김천시,Gimcheon-si,Si,1,경북혁신(07~15),, -   ,"131,279",0.019%,0.000%,0 ,0 ,3.102 ,3.17 ,3.98 ,3.57 ,3.59 ,1.20 ,704913 ,0.00%, 1 ,"62,202"," 10,244 ",25.8," 4,624,856 "," 68,562 ",11.7,21.6,2.6,8.4,66.3,"12,337,165",2,0,0,0.96
47170,Gyeongbuk,안동시,Andong-si,Si,3,,, -   ,"171,943",0.058%,0.028%,0 ,1 ,3.430 ,3.45 ,3.91 ,3.62 ,3.53 ,2.64 ,812509 ,0.00%, 1 ,"73,714"," 13,741 ",15.1," 4,480,788 "," 80,348 ",11.9,17.5,2.3,3.0,77.2,"13,217,179",8,2,0,1.18
47190,Gyeongbuk,구미시,Gumi-si,Si,1,U-city(기반조성),, -   ,"77,095",0.029%,0.008%,0 ,0 ,3.477 ,3.27 ,4.03 ,3.59 ,3.73 ,2.76 ,1446589 ,0.00%, 1 ,"168,487"," 34,208 ",44.2," 28,114,453 "," 200,343 ",41.9,14.7,1.9,15.3,68.0,"19,031,126",7,1,2,0.91
47210,Gyeongbuk,영주시,Yeongju-si,Si,1,U-city(시범도시),, -   ,"88,874",0.010%,0.000%,0 ,0 ,3.173 ,3.20 ,3.73 ,3.33 ,3.38 ,2.24 ,441378 ,0.00%, 2 ,"48,678"," 9,477 ",23.1," 2,989,761 "," 54,275 ",20.4,16.5,2.6,6.3,74.5,"8,013,197",9,1,0,1.79
47230,Gyeongbuk,영천시,Yeongcheon-si,Si,3,,, -   ,"102,042",0.069%,0.021%,0 ,0 ,3.537 ,3.26 ,4.15 ,3.77 ,3.71 ,2.79 ,220823 ,0.00%, 1 ,"47,509"," 8,778 ",17.5," 3,416,818 "," 56,038 ",14.2,15.8,1.6,13.8,68.8,"8,628,964",9,4,0,1.28
47250,Gyeongbuk,상주시,Sangju-si,Si,3,,, -   ,"159,063",0.039%,0.038%,0 ,1 ,3.604 ,3.48 ,4.06 ,3.71 ,3.89 ,2.89 ,454164 ,0.00%, 2 ,"46,750"," 7,650 ",14.0," 2,289,592 "," 50,825 ",12.2,17.9,2.3,5.0,74.9,"7,983,532",8,3,0,0.94
47280,Gyeongbuk,문경시,Mungyeong-si,Si,3,,, -   ,"115,698",0.033%,0.000%,0 ,0 ,3.667 ,3.46 ,4.31 ,3.87 ,3.85 ,2.84 ,373797 ,0.00%, 1 ,"34,643"," 5,946 ",19.9," 1,473,841 "," 34,419 ",39.0,17.9,3.2,7.1,71.8,"3,134,644",2,0,0,1.68
47290,Gyeongbuk,경산시,Gyeongsan-si,Si,3,,, -   ,"50,609",0.030%,0.022%,1 ,1 ,3.409 ,3.51 ,3.75 ,3.50 ,3.52 ,2.76 ,957463 ,0.01%, 1 ,"107,821"," 19,459 ",30.8," 7,665,247 "," 128,333 ",32.9,15.4,1.5,8.5,74.6,"12,124,400",4,4,0,0.91
47720,Gyeongbuk,군위군,Gunwi-gun,Gun,3,,, -   ,"71,386",0.107%,0.000%,0 ,1 ,3.632 ,3.50 ,4.01 ,3.89 ,3.64 ,3.13 ,116869 ,0.00%, 1 ,"12,428"," 1,886 ",11.3," 734,703 "," 13,709 ",13.7,13.3,2.0,2.7,82.0,"3,927,380",4,0,0,0.89
47730,Gyeongbuk,의성군,Uiseong-gun,Gun,3,,, -   ,"126,365",0.176%,0.076%,0 ,0 ,3.822 ,3.57 ,4.16 ,3.99 ,4.05 ,3.34 ,240643 ,0.00%, 1 ,"27,440"," 4,016 ",13.2," 1,224,239 "," 28,812 ",5.9,12.2,1.6,3.0,83.2,"9,383,197",4,1,0,0.79
47750,Gyeongbuk,청송군,Cheongsong-gun,Gun,3,,, -   ,"110,525",0.000%,0.000%,1 ,0 ,3.769 ,3.54 ,4.03 ,3.85 ,3.92 ,3.50 ,147983 ,0.00%, -   ,"13,460"," 2,194 ",11.9," 637,270 "," 14,348 ",9.7,25.4,4.8,0.6,69.2,"4,181,662",5,2,0,1.04
47760,Gyeongbuk,영양군,Yeongyang-gun,Gun,1,U-city(기반조성),, -   ,"103,910",0.076%,0.000%,0 ,0 ,3.577 ,3.33 ,3.85 ,3.72 ,3.71 ,3.28 ,90412 ,0.00%, 1 ,"8,800"," 1,290 ",13.6," 390,896 "," 8,848 ",16.0,11.8,2.4,0.6,85.3,"2,802,245",2,4,0,0.84
47770,Gyeongbuk,영덕군,Yeongdeok-gun,Gun,3,,, -   ,"109,824",0.053%,0.000%,0 ,1 ,3.215 ,3.09 ,3.75 ,3.33 ,3.17 ,2.73 ,219432 ,0.00%, 1 ,"20,185"," 3,758 ",13.5," 787,074 "," 18,150 ",8.9,17.0,3.6,1.8,56.7,"1,279,808",3,0,0,1.50
47820,Gyeongbuk,청도군,Cheongdo-gun,Gun,3,,, -   ,"78,403",0.356%,0.183%,0 ,0 ,3.445 ,3.19 ,3.89 ,3.52 ,3.76 ,2.87 ,207878 ,0.00%, 1 ,"21,722"," 3,843 ",15.7," 987,999 "," 23,487 ",18.7,10.7,1.5,1.0,86.9,"1,641,730",2,0,0,0.73
47830,Gyeongbuk,고령군,Goryeong-gun,Gun,3,,, -   ,"43,730",0.051%,0.000%,0 ,0 ,3.349 ,3.26 ,3.88 ,3.52 ,3.39 ,2.68 ,157602 ,0.00%, -   ,"16,215"," 3,845 ",16.8," 1,376,232 "," 20,404 ",12.3,8.9,0.4,9.5,80.3,"9,841,864",4,0,0,0.74
47840,Gyeongbuk,성주군,Seongju-gun,Gun,3,,, -   ,"67,683",0.000%,0.000%,0 ,0 ,3.231 ,3.21 ,3.52 ,3.37 ,3.40 ,2.66 ,187848 ,0.00%, -   ,"21,877"," 4,218 ",15.3," 1,846,097 "," 29,393 ",5.9,18.6,1.7,18.3,61.4,"5,920,096",4,0,0,0.72
47850,Gyeongbuk,칠곡군,Chilgok-gun,Gun,3,,, -   ,"53,231",0.034%,0.013%,0 ,1 ,3.456 ,2.95 ,4.08 ,3.65 ,3.74 ,2.86 ,477806 ,0.00%, -   ,"53,695"," 11,370 ",27.0," 3,986,069 "," 67,640 ",31.2,8.1,0.5,4.6,86.8,"13,529,198",2,1,0,1.02
47900,Gyeongbuk,예천군,Yecheon-gun,Gun,3,,,2019,"58,657",0.120%,0.060%,1 ,0 ,3.576 ,3.40 ,4.04 ,3.76 ,3.80 ,2.87 ,453530 ,0.00%, 1 ,"22,123"," 3,280 ",10.9," 1,071,027 "," 22,496 ",7.2,30.3,4.9,2.2,62.5,"7,665,225",1,1,0,0.75
47920,Gyeongbuk,봉화군,Bonghwa-gun,Gun,3,,, -   ,"192,567",0.200%,0.083%,0 ,1 ,3.555 ,3.35 ,3.99 ,3.85 ,3.61 ,2.97 ,157881 ,0.00%, 1 ,"16,492"," 2,497 ",9.6," 1,052,578 "," 16,587 ",6.2,18.0,2.2,3.1,76.6,"10,081,746",0,0,0,1.69
47930,Gyeongbuk,울진군,Uljin-gun,Gun,3,,, -   ,"187,835",0.000%,0.000%,0 ,1 ,3.532 ,3.25 ,3.93 ,3.66 ,3.76 ,3.06 ,490773 ,0.00%, -   ,"25,186"," 4,550 ",16.0," 2,446,518 "," 24,698 ",12.0,12.7,1.8,9.3,70.4,"6,172,203",1,2,1,1.15
47940,Gyeongbuk,울릉군,Ulleung-gun,Gun,3,,, -   ,"17,782",0.000%,0.000%,0 ,0 ,3.803 ,3.69 ,4.05 ,3.84 ,3.82 ,3.61 ,47371 ,0.00%, 1 ,"5,323"," 1,238 ",17.3," 287,643 "," 5,152 ",29.4,7.8,1.4,1.5,86.8,"853,115",4,0,0,1.44
48120,Gyeongnam,창원시,Changwon-si,Si,3,,,2018,"48,810",0.013%,0.006%,1 ,2 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,4169722 ,0.00%, 3 ,"417,762"," 84,991 ",42.6," 36,693,607 "," 551,448 ",58.7,12.3,2.2,8.7,74.4,"33,790,847",10,2,7,1.17
48170,Gyeongnam,진주시,Jinju-si,Si,1,경남혁신(07~15),, -   ,"78,816",0.037%,0.013%,0 ,4 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,1430999 ,0.00%, 1 ,"140,748"," 29,074 ",31.7," 6,959,317 "," 156,030 ",15.5,7.0,1.1,2.1,89.8,"17,216,373",5,2,0,1.16
48220,Gyeongnam,통영시,Tongyeong-si,Si,3,,, -   ,"32,077",0.000%,0.000%,0 ,0 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,722605 ,0.00%, 2 ,"59,214"," 11,147 ",23.5," 4,036,282 "," 52,551 ",25.8,16.8,2.0,9.9,66.7,"5,419,918",2,0,0,1.66
48240,Gyeongnam,사천시,Sacheon-si,Si,3,,, -   ,"73,986",0.010%,0.000%,0 ,0 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,521344 ,0.00%, 1 ,"51,012"," 9,742 ",22.5," 4,045,304 "," 53,043 ",22.4,12.8,1.4,11.2,73.4,"9,264,497",2,1,0,1.65
48250,Gyeongnam,김해시,Gimhae-si,Si,3,,,2018,"86,266",0.016%,0.006%,0 ,3 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,1522802 ,0.00%, 3 ,"200,370"," 44,218 ",41.3," 14,918,689 "," 249,818 ",34.2,13.5,1.6,5.7,79.1,"19,671,019",8,1,3,0.94
48270,Gyeongnam,밀양시,Miryang-si,Si,3,,, -   ,"97,146",0.066%,0.030%,1 ,0 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,472471 ,0.00%, 1 ,"50,158"," 8,927 ",19.0," 2,651,070 "," 56,222 ",18.0,15.9,1.4,6.4,76.3,"8,037,745",5,1,1,1.04
48310,Gyeongnam,거제시,Geoje-si,Si,3,,, -   ,"56,857",0.000%,0.000%,0 ,1 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,1049283303 ,0.00%, 2 ,"102,413"," 15,649 ",41.5," 10,454,011 "," 105,287 ",18.6,12.3,1.8,8.9,64.0,"10,519,000",5,2,2,1.36
48330,Gyeongnam,양산시,Yangsan-si,Si,1,U-city(시범도시),, -   ,"90,358",0.004%,0.000%,0 ,0 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,1276738 ,0.00%, 1 ,"125,453"," 23,570 ",40.5," 10,887,032 "," 144,674 ",29.6,9.2,0.9,4.5,85.4,"16,023,262",9,1,0,1.13
48720,Gyeongnam,의령군,Uiryeong-gun,Gun,3,,, -   ,"44,437",0.000%,0.000%,1 ,0 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,118098 ,0.00%, 1 ,"14,419"," 1,948 ",16.9," 803,368 "," 13,784 ",7.1,12.1,1.4,6.3,80.2,"6,760,896",0,0,0,1.02
48730,Gyeongnam,함안군,Haman-gun,Gun,3,,, -   ,"40,659",0.112%,0.036%,0 ,2 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,351784 ,0.00%, 1 ,"31,106"," 6,882 ",25.7," 3,700,910 "," 50,670 ",22.0,11.9,1.2,19.0,67.9,"6,428,176",4,1,0,1.13
48740,Gyeongnam,창녕군,Changnyeong-gun,Gun,3,,, -   ,"50,760",0.270%,0.097%,0 ,1 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,282775 ,0.00%, 1 ,"30,810"," 5,322 ",15.3," 2,262,980 "," 33,491 ",21.9,11.1,1.3,5.4,82.2,"8,339,965",3,0,1,0.80
48820,Gyeongnam,경남고성군,Goseong-gun,Gun,3,,, -   ,"44,514",0.066%,0.019%,0 ,1 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,219989930 ,0.00%, 2 ,"25,853"," 4,376 ",13.7," 2,583,986 "," 25,901 ",8.5,11.4,0.8,27.7,56.1,"12,264,057",1,1,0,0.93
48840,Gyeongnam,남해군,Namhae-gun,Gun,3,,, -   ,"35,487",0.022%,0.000%,0 ,1 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,208412 ,0.00%, 2 ,"22,155"," 4,452 ",15.6," 888,827 "," 18,493 ",7.6,10.7,1.6,0.0,87.7,"3,313,875",1,1,0,1.50
48850,Gyeongnam,하동군,Hadong-gun,Gun,3,,, -   ,"92,712",0.331%,0.113%,0 ,1 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,209823 ,0.00%, 2 ,"23,704"," 3,950 ",14.4," 2,273,039 "," 23,699 ",4.4,9.8,2.9,48.2,39.1,"8,164,043",2,0,0,1.13
48860,Gyeongnam,산청군,Sancheong-gun,Gun,3,,, -   ,"111,345",0.160%,0.042%,1 ,0 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,168661 ,0.00%, 1 ,"18,404"," 3,074 ",12.9," 897,976 "," 18,856 ",8.7,19.5,2.3,3.5,61.6,"6,987,432",3,3,0,1.16
48870,Gyeongnam,함양군,Hamyang-gun,Gun,3,,, -   ,"117,707",0.029%,0.000%,0 ,1 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,176924 ,0.00%, 1 ,"19,598"," 3,420 ",14.5," 856,599 "," 18,607 ",9.6,12.4,1.6,4.2,81.8,"5,498,009",4,1,0,1.16
48880,Gyeongnam,거창군,Geochang-gun,Gun,3,,, -   ,"102,074",0.041%,0.000%,0 ,2 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,260136 ,0.00%, 1 ,"28,203"," 4,774 ",16.5," 2,092,525 "," 29,908 ",7.0,15.3,1.1,4.0,79.7,"9,770,980",3,1,0,1.32
48890,Gyeongnam,합천군,Hapcheon-gun,Gun,3,,, -   ,"102,192",0.000%,0.000%,0 ,0 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,219697 ,0.00%, 1 ,"24,302"," 3,390 ",13.3," 956,120 "," 22,762 ",5.4,13.9,1.3,0.0,84.8,"9,065,996",0,0,0,1.26
50100,Jeju-do,제주특별자치도,Jeju-do,Metropolitan ,1,U-city(기타),, -   ,"185,126",0.017%,0.013%,0 ,5 ,3.417 ,3.49 ,4.19 ,3.65 ,3.10 ,2.67 ,3163631 ,0.08%, 2 ,"266,972"," 57,791 ",38.2," 16,986,143 "," 467,243 ",82.0,10.6,1.4,1.03,83.64,"35,704,346",10,4,2,2.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,